iter	MultiClass
219	3.816959313
220	3.814308545
221	3.811852517
222	3.80848215
223	3.802121525
224	3.799483541
225	3.796264947
226	3.793829274
227	3.790495694
228	3.786229541
229	3.782738443
230	3.780729945
231	3.77760939
232	3.770709936
233	3.765692083
234	3.76194402
235	3.756035212
236	3.752714483
237	3.749926523
238	3.746650646
239	3.743814595
240	3.741709699
241	3.739724286
242	3.737662661
243	3.735266376
244	3.732986834
245	3.729377895
246	3.727333913
247	3.724991925
248	3.723116971
249	3.721096253
250	3.71864247
251	3.716255926
252	3.712387518
253	3.708930102
254	3.706634238
255	3.704445766
256	3.701674094
257	3.69558968
258	3.693472421
259	3.691055713
260	3.687483495
261	3.685477665
262	3.680072731
263	3.676671913
264	3.674192959
265	3.668309619
266	3.666422309
267	3.659165794
268	3.656402262
269	3.654361193
270	3.652372633
271	3.648052108
272	3.638962177
273	3.636707712
274	3.634926025
275	3.632591959
276	3.629660196
277	3.627108633
278	3.625184024
279	3.623050448
280	3.614595497
281	3.611335092
282	3.607884524
283	3.603866358
284	3.601809128
285	3.589489341
286	3.586223964
287	3.583719975
288	3.574265069
289	3.571937163
290	3.568783493
291	3.56613066
292	3.559821807
293	3.558015632
294	3.554721004
295	3.549894939
296	3.547651146
297	3.545899881
298	3.544145727
299	3.542207652
300	3.540058061
301	3.537225806
302	3.535364953
303	3.529840517
304	3.528171711
305	3.525567621
306	3.523491499
307	3.52067106
308	3.516632257
309	3.514862984
310	3.511643461
311	3.505252794
312	3.502087746
313	3.499942244
314	3.497994438
315	3.495342533
316	3.493417139
317	3.491124362
318	3.483210085
319	3.481436033
320	3.479866295
321	3.478067716
322	3.476468088
323	3.474813653
324	3.472929405
325	3.471400672
326	3.469429368
327	3.467962542
328	3.465187308
329	3.463617018
330	3.459363867
331	3.457710738
332	3.455532866
333	3.453139439
334	3.450579639
335	3.449135388
336	3.447479135
337	3.445905301
338	3.443546138
339	3.441950122
340	3.439768422
341	3.437599213
342	3.432535627
343	3.431071563
344	3.42558043
345	3.423699549
346	3.42211879
347	3.4205989
348	3.419097652
349	3.417925764
350	3.416484148
351	3.41442014
352	3.41304692
353	3.411358512
354	3.409903512
355	3.407616446
356	3.405539286
357	3.402328731
358	3.397791701
359	3.395064367
360	3.393830931
361	3.392082453
362	3.390709916
363	3.389180844
364	3.38766145
365	3.386274927
366	3.384494294
367	3.38322611
368	3.380909046
369	3.37959291
370	3.377918559
371	3.376480054
372	3.375000368
373	3.373334971
374	3.36853116
375	3.363729263
376	3.361810213
377	3.360445267
378	3.355960135
379	3.354758544
380	3.35294256
381	3.347104369
382	3.344364936
383	3.342210602
384	3.334161008
385	3.33028348
386	3.328632739
387	3.325016526
388	3.32343771
389	3.321391294
390	3.318632572
391	3.316997753
392	3.314790704
393	3.312412214
394	3.310366274
395	3.309115411
396	3.30710986
397	3.304545885
398	3.299213664
399	3.297357953
400	3.295662617
401	3.294294164
402	3.291501692
403	3.288796502
404	3.287424191
405	3.285667379
406	3.28300817
407	3.279796353
408	3.278381691
409	3.276883164
410	3.275524329
411	3.274311097
412	3.272960385
413	3.271425959
414	3.2702041
415	3.268653845
416	3.266368138
417	3.26515983
418	3.262647272
419	3.26134293
420	3.26018031
421	3.259108343
422	3.257893445
423	3.256505059
424	3.254442206
425	3.252714911
426	3.251435102
427	3.249417765
428	3.247790049
429	3.246057572
430	3.244550946
431	3.243241048
432	3.241528431
433	3.240223616
434	3.238789903
435	3.236988538
436	3.235928612
437	3.234214063
438	3.233034245
439	3.231914366
440	3.230508181
441	3.229172972
442	3.227870289
443	3.226584162
444	3.225061119
445	3.222816992
446	3.221761294
447	3.2204763
448	3.21932098
449	3.218221305
450	3.217119615
451	3.215892673
452	3.210295199
453	3.20921514
454	3.208047066
455	3.206977719
456	3.205159291
457	3.204172182
458	3.203028793
459	3.201932052
460	3.200941257
461	3.19789119
462	3.192137249
463	3.190974327
464	3.189189778
465	3.188073058
466	3.186957054
467	3.185876723
468	3.184970124
469	3.183969168
470	3.182196746
471	3.180914434
472	3.179797185
473	3.178076343
474	3.176906903
475	3.175696775
476	3.174649702
477	3.173397342
478	3.172379661
479	3.171258026
480	3.169453038
481	3.168356334
482	3.167275141
483	3.16534311
484	3.164207951
485	3.162995383
486	3.161999505
487	3.161022408
488	3.160096256
489	3.158956553
490	3.157909872
491	3.156850058
492	3.155833945
493	3.153651732
494	3.148225645
495	3.145899681
496	3.144883083
497	3.143858686
498	3.142811241
499	3.141351788
500	3.139887804
501	3.138620123
502	3.137502166
503	3.135960755
504	3.135004545
505	3.133411164
506	3.132423815
507	3.128814944
508	3.127045226
509	3.125988348
510	3.124275331
511	3.123097858
512	3.122192162
513	3.121145418
514	3.119869237
515	3.118721592
516	3.117575281
517	3.116779812
518	3.115875658
519	3.11503942
520	3.114042791
521	3.112607569
522	3.111415944
523	3.110406625
524	3.107548205
525	3.106263205
526	3.104742852
527	3.103741033
528	3.102722211
529	3.10157196
530	3.097596965
531	3.094206651
532	3.093346201
533	3.092318238
534	3.091389274
535	3.090077747
536	3.089102491
537	3.088272705
538	3.085006916
539	3.084010391
540	3.081437134
541	3.08048518
542	3.079026833
543	3.077726595
544	3.076761479
545	3.075891199
546	3.074927242
547	3.074156065
548	3.073255191
549	3.072349554
550	3.071420242
551	3.070426369
552	3.069684305
553	3.068527875
554	3.066968118
555	3.065941325
556	3.065169264
557	3.064506805
558	3.063686849
559	3.062067371
560	3.061224835
561	3.059981732
562	3.059098007
563	3.058084555
564	3.057235336
565	3.056545701
566	3.05560103
567	3.054674067
568	3.052941106
569	3.052020699
570	3.046793646
571	3.045750469
572	3.044806414
573	3.043934511
574	3.041381523
575	3.040152585
576	3.037214931
577	3.036418129
578	3.035052511
579	3.03384322
580	3.032286977
581	3.031456451
582	3.030795617
583	3.029882738
584	3.026116202
585	3.025319403
586	3.024063195
587	3.023168572
588	3.022405376
589	3.021389092
590	3.020626929
591	3.019755947
592	3.018971026
593	3.01741805
594	3.016072762
595	3.015053129
596	3.013512331
597	3.011859304
598	3.009501042
599	3.008310637
600	3.007319909
601	3.005871298
602	3.00507984
603	3.004142541
604	3.003310549
605	3.002415738
606	3.001439034
607	2.999024897
608	2.998139235
609	2.997281699
610	2.996351032
611	2.99555418
612	2.992036616
613	2.991233758
614	2.990470891
615	2.98958439
616	2.988806062
617	2.988111768
618	2.986901507
619	2.986156655
620	2.985230404
621	2.98396765
622	2.982707852
623	2.981842259
624	2.981027787
625	2.980360404
626	2.979627216
627	2.978784263
628	2.978153022
629	2.977469193
630	2.976799737
631	2.975889425
632	2.975151816
633	2.974131573
634	2.973245111
635	2.969906512
636	2.968485405
637	2.967642336
638	2.966909668
639	2.965861656
640	2.964917266
641	2.963807435
642	2.963059524
643	2.962229678
644	2.961042784
645	2.959937343
646	2.95587904
647	2.955144911
648	2.954313072
649	2.953156475
650	2.952255473
651	2.951662508
652	2.950924547
653	2.950290087
654	2.949781825
655	2.948768132
656	2.948071854
657	2.947115734
658	2.946359635
659	2.944074712
660	2.942910747
661	2.942034063
662	2.941349795
663	2.940726746
664	2.937361275
665	2.934415042
666	2.9331142
667	2.932307857
668	2.931172855
669	2.930499271
670	2.927735802
671	2.927102273
672	2.926403824
673	2.925539174
674	2.924143075
675	2.92353219
676	2.922441122
677	2.921676297
678	2.920621402
679	2.919763855
680	2.918868799
681	2.918057501
682	2.917282401
683	2.916525978
684	2.915865096
685	2.91465617
686	2.913871759
687	2.912806682
688	2.912176643
689	2.910852578
690	2.909145879
691	2.908520995
692	2.907743376
693	2.906915738
694	2.906219331
695	2.905296838
696	2.904631666
697	2.90397739
698	2.90331739
699	2.902674448
700	2.901916435
701	2.900949923
702	2.900271612
703	2.899653313
704	2.898938145
705	2.897611574
706	2.896874385
707	2.896197055
708	2.895563835
709	2.894895377
710	2.894096265
711	2.893501284
712	2.892456541
713	2.891706995
714	2.891069664
715	2.890276698
716	2.889737222
717	2.889072521
718	2.88839372
719	2.88764527
720	2.886960326
721	2.886115397
722	2.885553557
723	2.884829022
724	2.882683268
725	2.881754428
726	2.881108767
727	2.880409722
728	2.875863167
729	2.87521419
730	2.874474447
731	2.873933855
732	2.871120609
733	2.870443865
734	2.869532084
735	2.868490517
736	2.867602242
737	2.866982924
738	2.865526049
739	2.864884752
740	2.864298902
741	2.863589405
742	2.862970176
743	2.862384735
744	2.86163868
745	2.860996754
746	2.860044399
747	2.859121331
748	2.857956641
749	2.857251474
750	2.856704341
751	2.856089909
752	2.855433759
753	2.854678813
754	2.854004553
755	2.853053088
756	2.851932222
757	2.851335131
758	2.850439914
759	2.849626772
760	2.849042223
761	2.846129579
762	2.845444495
763	2.844768875
764	2.844128098
765	2.843699266
766	2.843070358
767	2.842426034
768	2.84159887
769	2.840928732
770	2.840411503
771	2.839688608
772	2.839080036
773	2.838463913
774	2.837795111
775	2.837287106
776	2.834183668
777	2.833420572
778	2.83208216
779	2.827523459
780	2.826707035
781	2.826023366
782	2.824865321
783	2.822534642
784	2.82148465
785	2.820589907
786	2.819860333
787	2.819102171
788	2.818497106
789	2.817687616
790	2.817024202
791	2.816352422
792	2.815658082
793	2.815196695
794	2.814608568
795	2.813983673
796	2.810095099
797	2.808950189
798	2.808408107
799	2.807306886
800	2.806428109
801	2.805871433
802	2.80508806
803	2.804511866
804	2.80392927
805	2.803311975
806	2.802519351
807	2.802072346
808	2.801519264
809	2.80090184
810	2.800020321
811	2.799020544
812	2.798373972
813	2.797799089
814	2.793674769
815	2.793265469
816	2.790478809
817	2.789859292
818	2.789266665
819	2.788694366
820	2.788215629
821	2.787692017
822	2.787164903
823	2.786654959
824	2.786098901
825	2.785516578
826	2.785004795
827	2.784478382
828	2.783715133
829	2.78311754
830	2.782642156
831	2.781801273
832	2.781260926
833	2.780627614
834	2.778571512
835	2.777992264
836	2.77731351
837	2.776820383
838	2.775899494
839	2.775372337
840	2.774681452
841	2.774073214
842	2.773348998
843	2.772739318
844	2.772157684
845	2.771540711
846	2.770941512
847	2.76989176
848	2.769361034
849	2.766907291
850	2.766454831
851	2.765748653
852	2.765291544
853	2.764265301
854	2.763730166
855	2.763176859
856	2.762435192
857	2.76186318
858	2.761250623
859	2.760701356
860	2.760184731
861	2.759660359
862	2.753349726
863	2.752966637
864	2.752464616
865	2.751878564
866	2.75135983
867	2.750850488
868	2.750232669
869	2.74947215
870	2.748949099
871	2.748435806
872	2.747976859
873	2.747542171
874	2.746950983
875	2.746411389
876	2.745772059
877	2.745025755
878	2.744536716
879	2.744007764
880	2.743479673
881	2.742990254
882	2.742493911
883	2.74207807
884	2.74142051
885	2.740872422
886	2.740370257
887	2.739858793
888	2.738790542
889	2.738315554
890	2.737615227
891	2.736573152
892	2.735500114
893	2.735091429
894	2.734583923
895	2.733936926
896	2.733420973
897	2.731210535
898	2.730677083
899	2.730059051
900	2.729690181
901	2.729191953
902	2.728560591
903	2.727810616
904	2.72726655
905	2.726478206
906	2.724854069
907	2.724010041
908	2.723496507
909	2.722943118
910	2.722444038
911	2.721070643
912	2.720541417
913	2.719934488
914	2.719381825
915	2.718863539
916	2.718393744
917	2.717843555
918	2.717295471
919	2.716730772
920	2.716310011
921	2.715934242
922	2.715496703
923	2.714713492
924	2.713915976
925	2.713585825
926	2.712846292
927	2.712342417
928	2.71157906
929	2.71107682
930	2.71063434
931	2.707170456
932	2.706290933
933	2.705649433
934	2.705131832
935	2.704659516
936	2.704006858
937	2.703452485
938	2.702882727
939	2.702491224
940	2.701794923
941	2.701384753
942	2.699065275
943	2.698475688
944	2.698042589
945	2.697632932
946	2.697014971
947	2.696601209
948	2.695716417
949	2.695166481
950	2.694729199
951	2.69388382
952	2.693299379
953	2.692847476
954	2.692372957
955	2.691920519
956	2.69153791
957	2.691048714
958	2.690578208
959	2.689479048
960	2.689005775
961	2.688476168
962	2.687901473
963	2.687472936
964	2.686990403
965	2.686105681
966	2.685675345
967	2.685185641
968	2.684514582
969	2.684038048
970	2.683377512
971	2.682752341
972	2.681301321
973	2.680622338
974	2.680214791
975	2.679771534
976	2.679382326
977	2.678848918
978	2.678488406
979	2.677236944
980	2.676764004
981	2.676251321
982	2.675603628
983	2.674863302
984	2.671559586
985	2.67074936
986	2.670345814
987	2.669805904
988	2.669329002
989	2.668908897
990	2.668519281
991	2.668046941
992	2.66734394
993	2.66687319
994	2.666383512
995	2.665971894
996	2.665565318
997	2.664754361
998	2.663833093
999	2.663393576
